;Código Pacote;Label SEEDS;Unnamed: 2;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;Fase;Atividade;Diâmetro;Codigo;"Operação - caso Sonda ser Dual Active
";Código 2;Fase.1;Atividade.1;Operação;Unnamed: 19;Unnamed: 20
0;Mob_Anc;Mob_Anc;Mob_Anc_1;Navegar para locação;;;;0;0;0;Fase 0;Navegação;Movimentaçao da Sonda;Mobilização;Navegação;;0;DMM / DTM / DMA;Movimentação da unidade;Muito Baixa;-
1;;;Mob_Anc_2;Localizar bóias demarcatórias;;;;2;0;0;Fase 0;Posicionamento;Movimentaçao da Sonda;Mobilização;Posicionamento;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
2;;;Mob_Anc_3;Lançar Ancoras;;;;24;0;0;Fase 0;Posicionamento;Movimentaçao da Sonda;Mobilização;Posicionamento;;0;DMM / DTM / DMA;Ancoragem;Muito Baixa;-
3;;;Mob_Anc_4;Posicionar Plataforma;;;;12;0;0;Fase 0;Posicionamento;Movimentaçao da Sonda;Mobilização;Posicionamento;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
4;;;Mob_Anc_5;Efetuar back load/Receber materiais;;;;1;0;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
5;;;Mob_Anc_6;Montar e estaleirar seção com cabeça de cimentação;;;;3;0;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
6;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
7;Mob_DP;Mob_DP;Mob_DP_1;Navegar para locação;;;;0;0;0;Fase 0;Navegaçao;Movimentaçao da Sonda;Mobilização;Navegaçao;;0;DMM / DTM / DMA;Movimentação da unidade;Muito Baixa;-
8;;;Mob_DP_2;Localizar bóias demarcatórias;;;;2;0;0;Fase 0;Calibraçao de DP;Movimentaçao da Sonda;Mobilização;Calibraçao de DP;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
9;;;Mob_DP_3;Lançar beacons;;;;6;0;0;Fase 0;Calibraçao de DP;Movimentaçao da Sonda;Mobilização;Calibraçao de DP;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
10;;;Mob_DP_4;Calibrar sistema DP;;;;2;0;0;Fase 0;Calibraçao de DP;Movimentaçao da Sonda;Mobilização;Calibraçao de DP;;0;DMM / DTM / DMA;Calibração de DP;Muito Baixa;-
11;;;Mob_DP_5;Efetuar back load/Receber materiais;;;;1;0;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
12;;;Mob_DP_6;Montar e estaleirar seção com cabeça de cimentação;;;;3;0;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
13;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
14;Pilot Well;Pilot Well;Pilot_Well_1;Montar BHA;;;;5;0;0;Fase 0;Montagem e descida de BHA de perfuração;"""Broca 8 1/2 """"""";Poço Piloto;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
15;;;Pilot_Well_2;Descer BHA com coluna de perfuração;;;;0;0;0;Fase 0;Montagem e descida de BHA de perfuração;"""Broca 8 1/2 """"""";Poço Piloto;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Descida de coluna em poço revestido;Muito Baixa;-
16;;;Pilot_Well_3;Perfurar Poço Piloto;;;;0;0;0;Fase 0;Perfuração;"""Broca 8 1/2 """"""";Poço Piloto;Perfuração;;1;Perfuração;Perfuração (Operações com avanço);Alta;-
17;;;Pilot_Well_4;Avaliar Shallow Hazards;;;;2;0;0;Fase 0;Tampão de cimento em poço aberto;"""Broca 8 1/2 """"""";Poço Piloto;Tampão de cimento em poço aberto;;1;Abandono;Execução do tampão de cimento e operações associadas;Alta;-
18;;;Pilot_Well_5;Retirar coluna até o mudline (poço aberto);;;;0;0;0;Fase 0;Retirada de broca;"""Broca 8 1/2 """"""";Poço Piloto;Retirada de broca;;1;Abandono;Retirada de coluna em poço aberto;Baixa;-
19;;;Pilot_Well_6;Retirar coluna até a superfície (mar aberto);;;;0;0;0;Fase 0;Retirada de broca;"""Broca 8 1/2 """"""";Poço Piloto;Retirada de broca;;1;Abandono;Retirada de coluna em poço revestido;Muito Baixa;-
20;;;Pilot_Well_7;Quebrar BHA;;;;3;0;0;Fase 0;Retirada de broca;"""Broca 8 1/2 """"""";Poço Piloto;Retirada de broca;;1;Abandono;Quebra de coluna por unidade;Muito Baixa;-
21;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
22;Preparing to Jet;Preparing to Jet;Preparing_to_Jet_1;Posicionar BAJA no moon pool e amarrar com cabos tensionadores de riser;;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
23;;;Preparing_to_Jet_2;"""Montar a RT/HSG 16 3/4""""+ 01 extensão 13 3/8"""" + 1 DP acima e deitar no convés""";;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
24;;;Preparing_to_Jet_3;Montar, testar e estaleirar BHA de Jateamento BHA {phase2_diameter};;;;12;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
25;;;Preparing_to_Jet_4;Montar Jet Cam, testar liberação e estaleirar;;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
26;;;Preparing_to_Jet_5;Preparar equipamentos para descida de revestimento;;;;2;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Revestimento e operações associadas;Muito Baixa;-
