Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;Fase;Atividade;Diâmetro;Codigo;"Operação - caso Sonda ser Dual Active
";Código 2;Fase;Atividade;Operação;;
Mob_Anc;Mob_Anc;Mob_Anc_1;Navegar para locação;;;;=DIST/(VEL*1,852);0,00;0;Fase 0;Navegação;Movimentaçao da Sonda;Mobilização;Navegação;;0;DMM / DTM / DMA;Movimentação da unidade;Muito Baixa;-
;;Mob_Anc_2;Localizar bóias demarcatórias;;;;2;0,00;0;Fase 0;Posicionamento;Movimentaçao da Sonda;Mobilização;Posicionamento;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
;;Mob_Anc_3;Lançar Ancoras;;;;24;0,00;0;Fase 0;Posicionamento;Movimentaçao da Sonda;Mobilização;Posicionamento;;0;DMM / DTM / DMA;Ancoragem;Muito Baixa;-
;;Mob_Anc_4;Posicionar Plataforma;;;;12;0,00;0;Fase 0;Posicionamento;Movimentaçao da Sonda;Mobilização;Posicionamento;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
;;Mob_Anc_5;Efetuar back load/Receber materiais;;;;1;0,00;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
;;Mob_Anc_6;Montar e estaleirar seção com cabeça de cimentação;;;;3;0,00;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;"Operação - caso Sonda ser Dual Active
";;--;Atividade;Operação;;
Mob_DP;Mob_DP;Mob_DP_1;Navegar para locação;;;;=DIST/(VEL*1,852);0,00;0;Fase 0;Navegaçao;Movimentaçao da Sonda;Mobilização;Navegaçao;;0;DMM / DTM / DMA;Movimentação da unidade;Muito Baixa;-
;;Mob_DP_2;Localizar bóias demarcatórias;;;;2;0,00;0;Fase 0;Calibraçao de DP;Movimentaçao da Sonda;Mobilização;Calibraçao de DP;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
;;Mob_DP_3;Lançar beacons;;;;6;0,00;0;Fase 0;Calibraçao de DP;Movimentaçao da Sonda;Mobilização;Calibraçao de DP;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
;;Mob_DP_4;Calibrar sistema DP;;;;2;0,00;0;Fase 0;Calibraçao de DP;Movimentaçao da Sonda;Mobilização;Calibraçao de DP;;0;DMM / DTM / DMA;Calibração de DP;Muito Baixa;-
;;Mob_DP_5;Efetuar back load/Receber materiais;;;;1;0,00;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
;;Mob_DP_6;Montar e estaleirar seção com cabeça de cimentação;;;;3;0,00;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;"Operação - caso Sonda ser Dual Active
";;--;Atividade;Operação;;
Pilot Well;Pilot Well;Pilot_Well_1;Montar BHA;;;;5;0,00;0;Fase 0;Montagem e descida de BHA de perfuração;"Broca 8 1/2 """;Poço Piloto;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
;;Pilot_Well_2;Descer BHA com coluna de perfuração;;;;=PDA/TMPR;=PDA;0;Fase 0;Montagem e descida de BHA de perfuração;"Broca 8 1/2 """;Poço Piloto;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Descida de coluna em poço revestido;Muito Baixa;-
;;Pilot_Well_3;Perfurar Poço Piloto;;;;=(PFPP-PDA)/TPFPP;=PFPP;0;Fase 0;Perfuração;"Broca 8 1/2 """;Poço Piloto;Perfuração;;1;Perfuração;Perfuração (Operações com avanço);Alta;-
;;Pilot_Well_4;Avaliar Shallow Hazards;;;;2;0,00;0;Fase 0;Tampão de cimento em poço aberto;"Broca 8 1/2 """;Poço Piloto;Tampão de cimento em poço aberto;;1;Abandono;Execução do tampão de cimento e operações associadas;Alta;-
;;Pilot_Well_5;Retirar coluna até o mudline (poço aberto);;;;=(PFPP-PDA)/TMPA;0,00;0;Fase 0;Retirada de broca;"Broca 8 1/2 """;Poço Piloto;Retirada de broca;;1;Abandono;Retirada de coluna em poço aberto;Baixa;-
;;Pilot_Well_6;Retirar coluna até a superfície (mar aberto);;;;=PDA/TMPR;=-PFPP;0;Fase 0;Retirada de broca;"Broca 8 1/2 """;Poço Piloto;Retirada de broca;;1;Abandono;Retirada de coluna em poço revestido;Muito Baixa;-
;;Pilot_Well_7;Quebrar BHA;;;;3;0,00;0;Fase 0;Retirada de broca;"Broca 8 1/2 """;Poço Piloto;Retirada de broca;;1;Abandono;Quebra de coluna por unidade;Muito Baixa;-
Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;"Operação - caso Sonda ser Dual Active
";;--;Atividade;Operação;;
Preparing to Jet;Preparing to Jet;Preparing_to_Jet_1;Posicionar BAJA no moon pool e amarrar com cabos tensionadores de riser;;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
;;Preparing_to_Jet_2;"Montar a RT/HSG 16 3/4""+ 01 extensão 13 3/8"" + 1 DP acima e deitar no convés";;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
;;Preparing_to_Jet_3;Montar, testar e estaleirar BHA de Jateamento BHA DIAMETRO FASE 2;;;;12;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
;;Preparing_to_Jet_4;Montar Jet Cam, testar liberação e estaleirar;;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
;;Preparing_to_Jet_5;Preparar equipamentos para descida de revestimento;;;;2;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Revestimento e operações associadas;Muito Baixa;-
;;Preparing_to_Jet_6;"Descer revestimento condutor, cortar olhais e soldar ""bacalhaus""";;;;=(PFF-PDA)/TRF;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Revestimento e operações associadas;Muito Baixa;-
;;Preparing_to_Jet_7;Desmobilizar equipamentos de manuseio do rev. condutor DIAMETRO REV FASE X pol;;;;1;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Revestimento e operações associadas;Muito Baixa;-
;;Preparing_to_Jet_8;Descer BHA de Jateamento;;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Descida de coluna em poço revestido;Muito Baixa;-
;;Preparing_to_Jet_9;Testar e travar Jet Cam no alojador de baixa pressão (ABP), descer e travar conjunto na BAJA;;;;3;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
;;Preparing_to_Jet_10;Liberar cabos tensionadores da BAJA e preparar para descer conjunto: Rev. Condutor + BAJA + BHA de Jateamento;;;;1;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
;;Preparing_to_Jet_11;Descer coluna de DP com conjunto: Rev. Condutor + BAJA + BHA de Jateamento;;;;=(PDA-(PFF-PDA))/TMPR;=PDA;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
;;Preparing_to_Jet_12;Conectar TD, testar rotação da broca, mover sonda e posicionar broca no triângulo de bóias;;;;0,5;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;"Operação - caso Sonda ser Dual Active
";;--;Atividade;Operação;;
